"","state","date","cases","deaths","weekday","new_cases","new_deaths","mask_mandate","mandate_start","mandate_end","population","us_population","prop_cases","prop_deaths","deaths_per_cases","weeks"
"248","Washington",2020-03-31,5293,226,"Tuesday",2824,103,"no",2020-06-26,NA,7535591,327167434,0.702400116991488,0.0299910119856558,4.26979028906102,11
"249","West Virginia",2020-03-31,162,1,"Tuesday",123,1,"no",2020-07-07,2021-06-20,1805832,327167434,0.0897093417327858,0.0005537613687209,0.617283950617284,3
"250","Wisconsin",2020-03-31,1351,25,"Tuesday",870,20,"no",2020-08-01,2021-03-31,5813568,327167434,0.232387408214714,0.004300285126105,1.85048112509252,8
"251","Wyoming",2020-03-31,121,0,"Tuesday",84,0,"no",2020-12-09,2021-03-16,577737,327167434,0.209437858402699,0,0,3
"252","Alabama",2020-04-07,2197,64,"Tuesday",1198,50,"no",2020-07-16,2021-04-09,4887871,327167434,0.449479947404504,0.0130936352452837,2.91306326809285,4
"253","Alaska",2020-04-07,211,4,"Tuesday",78,2,"no",2020-04-24,2020-05-22,737438,327167434,0.286125748876516,0.00542418481282494,1.8957345971564,4
"254","Arizona",2020-04-07,2577,77,"Tuesday",1279,53,"no",2020-05-08,2021-03-25,7171646,327167434,0.359331735001979,0.0107367262689765,2.98797050834303,11
"255","Arkansas",2020-04-07,997,18,"Tuesday",433,10,"no",2020-07-20,2021-03-30,3013825,327167434,0.330808855855931,0.00597247683591449,1.80541624874624,4
"256","California",2020-04-07,17540,447,"Tuesday",8957,263,"no",2020-06-18,NA,39557045,327167434,0.443410269902618,0.0113001362968341,2.5484606613455,11
"257","Colorado",2020-04-07,5429,179,"Tuesday",2439,110,"no",2020-07-16,2021-05-15,5695564,327167434,0.953197962484488,0.0314279674497556,3.29710812304292,5
"258","Connecticut",2020-04-07,7781,277,"Tuesday",4653,208,"no",2020-04-20,NA,3572665,327167434,2.1779260020181,0.0775331580206932,3.55995373345328,5
"259","Delaware",2020-04-07,928,16,"Tuesday",609,6,"no",2020-04-28,2021-05-21,967171,327167434,0.95949940599956,0.016543093206889,1.72413793103448,4
"260","District of Columbia",2020-04-07,1211,24,"Tuesday",716,15,"no",2020-07-22,NA,702455,327167434,1.72395384757742,0.0341658896299407,1.98183319570603,5
"261","Florida",2020-04-07,14739,295,"Tuesday",7997,210,"no",2020-05-11,2021-05-04,21299325,327167434,0.691993760365645,0.0138502041731369,2.00149263857792,6
"262","Georgia",2020-04-07,9156,348,"Tuesday",5040,222,"no",2020-04-24,2021-05-01,10519475,327167434,0.87038564186901,0.033081498839058,3.80078636959371,6
"263","Guam",2020-04-07,274,4,"Tuesday",135,2,"no",NA,NA,NA,NA,NA,NA,1.45985401459854,4
"264","Hawaii",2020-04-07,408,5,"Tuesday",184,4,"no",2020-11-16,NA,1420491,327167434,0.28722462866713,0.00351990966503836,1.22549019607843,5
"265","Idaho",2020-04-07,1210,15,"Tuesday",684,6,"no",NA,NA,1754208,327167434,0.689769970265784,0.00855086739998906,1.2396694214876,4
"266","Illinois",2020-04-07,13549,384,"Tuesday",7557,277,"no",2020-05-01,2021-06-11,12741080,327167434,1.06341063708885,0.0301387323523595,2.8341575023987,11
"267","Indiana",2020-04-07,5544,208,"Tuesday",3367,147,"no",2020-07-27,2021-04-06,6691878,327167434,0.82846698639754,0.0310824554781184,3.75180375180375,5
"268","Iowa",2020-04-07,1048,26,"Tuesday",550,19,"no",2020-11-17,2021-02-07,3156145,327167434,0.332050650397875,0.00823789781521445,2.48091603053435,5
"269","Kansas",2020-04-07,905,30,"Tuesday",470,20,"no",2020-07-03,2021-04-01,2911505,327167434,0.310835804850069,0.0103039493320465,3.31491712707182,5
"270","Kentucky",2020-04-07,1289,66,"Tuesday",699,48,"no",2020-07-10,2021-06-11,4468402,327167434,0.288470016797951,0.01477038099974,5.12024825446082,5
"271","Louisiana",2020-04-07,16284,582,"Tuesday",11047,342,"no",2020-08-07,2021-04-28,4659978,327167434,3.49443709820089,0.124893293487652,3.57406042741341,5
"272","Maine",2020-04-07,519,12,"Tuesday",216,7,"no",2020-05-01,2021-05-24,1338404,327167434,0.387775290569962,0.00896590267213786,2.3121387283237,4
"273","Maryland",2020-04-07,4371,104,"Tuesday",2709,86,"no",2020-04-18,2021-05-15,6042718,327167434,0.723349989193605,0.0172107981871734,2.37931823381377,5
"274","Massachusetts",2020-04-07,15202,356,"Tuesday",8582,267,"no",2020-05-06,2021-05-29,6902149,327167434,2.2025024380088,0.0515781389245581,2.34179713195632,10
"275","Michigan",2020-04-07,18851,845,"Tuesday",11222,581,"no",2020-04-27,2020-10-02,9995915,327167434,1.88587037804943,0.0845345323564676,4.4825208211766,5
"276","Minnesota",2020-04-07,1069,34,"Tuesday",440,22,"no",2020-07-25,2021-05-14,5611179,327167434,0.190512546471962,0.00605933262866859,3.18054256314312,5
"277","Mississippi",2020-04-07,1915,59,"Tuesday",978,39,"no",2020-08-05,2020-09-30,2986530,327167434,0.64121237690564,0.0197553682701999,3.08093994778068,4
"278","Missouri",2020-04-07,3037,80,"Tuesday",1687,65,"no",NA,NA,6126452,327167434,0.495719218888845,0.0130581289137661,2.63417846559104,5
"279","Montana",2020-04-07,319,6,"Tuesday",121,1,"no",2020-07-15,2021-02-12,1062305,327167434,0.300290406239263,0.00564809541515855,1.88087774294671,4
"280","Nebraska",2020-04-07,491,12,"Tuesday",292,8,"no",NA,NA,1929268,327167434,0.254500670720709,0.00621997565916192,2.44399185336049,8
"281","Nevada",2020-04-07,2101,60,"Tuesday",988,34,"no",2020-06-26,NA,3034392,327167434,0.692395708926203,0.0197733186747131,2.855782960495,5
