"","X","state","date","cases","deaths","weekday","new_cases","new_deaths","mask_mandate","mandate_start","mandate_end","population","us_population","prop_cases","prop_deaths","deaths_per_cases","weeks","cases_proyected","deaths_proyected","new_cases_proyected","new_deaths_proyected"
"1180",2932,"Pennsylvania",2021-03-09,958266,24445,"Tuesday",17455,310,"yes","2020-07-01","2021-06-28",12807060,327167434,74.8232615448042,1.90871285056836,2.55096184149286,53,949923.194663463,24330.3463329041,17609.0113152202,284.367236352933
"1181",2934,"Rhode Island",2021-03-09,129277,2556,"Tuesday",2428,31,"yes","2020-05-08","2021-07-06",1057315,327167434,122.269144011009,2.41744418645342,1.97714984103901,54,128162.627411521,2549.86245035908,2790.93775573497,5.10053320119687
"1182",2935,"South Carolina",2021-03-09,527348,8763,"Tuesday",8525,187,"yes","2020-08-03","2021-05-11",5084127,327167434,103.724395555028,1.72359974485295,1.66171105228426,53,524883.045632418,8687.64282447422,9535.56086136762,175.422993999093
"1183",2938,"Texas",2021-03-09,2701913,45754,"Tuesday",36347,1401,"yes","2020-07-03","2021-03-10",28701845,327167434,94.137258423631,1.59411354914641,1.69339279244002,56,2691226.33319909,45188.5304620086,54873.0486039887,1856.97899283154
"1184",2940,"Vermont",2021-03-09,16286,211,"Tuesday",914,5,"yes","2020-08-01","2021-06-14",626299,327167434,26.0035542129239,0.336899787481698,1.29559130541569,53,15724.2479820168,209.591802363762,630.252193228614,6.46701158658465
"1185",2942,"Virginia",2021-03-09,588129,9790,"Tuesday",9570,847,"yes","2020-05-29","2021-05-15",8517685,327167434,69.04798663017,1.14937333324724,1.66460079336336,53,584406.470458564,9664.22795060736,10374.7124123482,1675.46991305729
"1186",2944,"West Virginia",2021-03-09,133856,2326,"Tuesday",1672,25,"yes","2020-07-07","2021-06-20",1805832,327167434,74.1242817715048,1.28804894364481,1.73768826201291,52,133218.519272676,2314.61998083332,2056.58352419152,11.0531710942532
"1187",2945,"Wisconsin",2021-03-09,622444,7138,"Tuesday",4134,83,"yes","2020-08-01","2021-03-31",5813568,327167434,107.067467001332,1.2278174092055,1.14676982989634,57,620766.056835803,7126.57466397978,4820.12602589629,150.755332101901
"1188",2946,"Wyoming",2021-03-09,54972,691,"Tuesday",445,9,"yes","2020-12-09","2021-03-16",577737,327167434,95.150561587712,1.19604595170467,1.2570035654515,52,54820.858551757,687.56743931527,577.891398377666,12.021659069061
"1189",2947,"Alabama",2021-03-16,508717,10337,"Tuesday",8101,151,"yes","2020-07-16","2021-04-09",4887871,327167434,104.077419391797,2.11482668016402,2.03197455559771,53,503742.547806187,10284.922613002,6574.82736661792,124.193450742081
"1190",2949,"Arizona",2021-03-16,833883,16574,"Tuesday",6083,248,"yes","2020-05-08","2021-03-25",7171646,327167434,116.274980666921,2.31104546989631,1.98756899948794,60,832092.660819153,16458.0858464079,8923.65839272144,181.997103585401
"1191",2950,"Arkansas",2021-03-16,327456,5493,"Tuesday",2073,136,"yes","2020-07-20","2021-03-30",3013825,327167434,108.651298598956,1.82260084775991,1.67747727939021,53,326606.870591617,5409.25475273768,432.177771809045,215.695576126751
"1192",2952,"Colorado",2021-03-16,447149,6129,"Tuesday",6670,45,"yes","2020-07-16","2021-05-15",5695564,327167434,78.5082917161496,1.07610062848912,1.37068404491568,54,444298.101301196,6099.05570230845,7413.82041653711,19.3934503859609
"1193",2954,"Delaware",2021-03-16,90751,1514,"Tuesday",2072,32,"yes","2020-04-28","2021-05-21",967171,327167434,93.8313907261487,1.56539019470187,1.66830117574462,53,89431.4702133264,1510.8193647406,1239.04569373443,60.722027106001
"1194",2956,"Florida",2021-03-16,1984417,32448,"Tuesday",31692,560,"yes","2020-05-11","2021-05-04",21299325,327167434,93.1680698801488,1.52342855935575,1.635140194828,55,1970275.2986243,32271.8202192228,32088.3651904562,666.321795889588
"1195",2957,"Georgia",2021-03-16,1011361,17735,"Tuesday",10020,317,"yes","2020-04-24","2021-05-01",10519475,327167434,96.1417751361166,1.68592063767441,1.75357760483151,55,1008605.80209917,17664.1200165984,11051.3775263617,454.110787993126
"1196",2961,"Illinois",2021-03-16,1215745,23235,"Tuesday",11052,196,"yes","2020-05-01","2021-06-11",12741080,327167434,95.4193051138522,1.82362876616425,1.91117380700723,60,1210653.44561695,23157.9143583055,11524.8768821335,216.158057691988
"1197",2962,"Indiana",2021-03-16,676799,12876,"Tuesday",5229,114,"yes","2020-07-27","2021-04-06",6691878,327167434,101.137378774688,1.92412354200121,1.90248508050396,54,674391.684378228,12832.0729329287,5544.54318885319,121.673533976518
